Naam,Alternatieve namen,Plaats,Beginjaar,Eindjaar,Einddatum,Levensbeschouwing
 De Adelaars,,Schiedam,Voetbal,1925,1933,Neutraal
A.A.C. (Achilles Advendo Combinatie),,Zutphen,Voetbal,1918,1924,Neutraal
A.A.C. (Ammelie A.C.C. Combinatie),,Maastricht,Voetbal,1926,1934,Neutraal
A.A.C. (Amsterdamsche Athletieke Club),,Amsterdam,Voetbal,1891,,Neutraal
A.A.C. (Avanti - A.V.O.G. Combinatie),,Amsterdam,Voetbal,1911,,Neutraal
Aadorp,V.I.O.S.,Aadorp,Voetbal,1936,1941,Neutraal
Aalbeek,,Aalbeek,Voetbal,1935,1938,Neutraal
Aalbeek,,Aalbeek,Voetbal,1924,1926,Rooms-katholiek
Aalburg,Wilhelmina,Aalburg,Voetbal,1926,,Neutraal
Aalsmeer,,Aalsmeer,Voetbal,1918,1920,Neutraal
Aalsmeer,V.V.A,Aalsmeer,Voetbal,1919,,Neutraal
Aalsmeer,,Aalsmeer,Voetbal,1935,,Socialistisch
Aalst,Concordia,Aalst,Voetbal,1917,1923,Rooms-katholiek
Aalten,S.D.O.//Concordia,Aalten,Voetbal,1920,1969,Neutraal
Aardenburg,Aardenb. V.C.,Aardenburg,Voetbal,1933,,Neutraal
Aardenburg,A.V.V. (Aardenburgsche Voetbalvereeniging),Aardenburg,Voetbal,1913,1933,Neutraal
Aardswoud,,Aardswoud,Voetbal,1930,1941,Neutraal
Aarle-Rixtel,,Aarle-Rixtel,Voetbal,1922,1923,Rooms-katholiek
A.A.V. (Ambt Almelosche Voetbalclub),,Ambt Almelo,Voetbal,1906,1913,Rooms-katholiek
Abbenbroek,,Abbenbroek,Voetbal,1930,,Neutraal
A.B.C.,H.M.S.,Abcoude,Voetbal,1920,1927,Rooms-katholiek
A.B.C.,,De Haukes (Wieringen),Voetbal,1929,,Neutraal
A.B.I.M. (Alle Begin Is Moeilijk),,Amsterdam,Voetbal,1921,,Neutraal
A.B.S.,,Bathmen,Voetbal,1922,1929,Neutraal
A.B.S.,,Rotterdam,Voetbal,1929,1930,Protestants-christelijk
A.B.S. (Algemeene Bathmensche Sportvereeniging),,Bathmen,Voetbal,1930,,Neutraal
Abstinentia,,Oosterbeek,Voetbal,1921,1923,Neutraal
Abstinentia,Sport en Strijd,Oosterbeek,Voetbal,1928,,Neutraal
A.B.W. (Alphens Blauw Wit),Blauw Wit,Alphen aan den Rijn,Voetbal,1920,1921,Neutraal
A.C.C.,A.T.C. (L'Avenir T.H.O.R. Combinatie),Maastricht,Voetbal,1921,1926,Neutraal
Aceritas,Rapiditas,Rotterdam,Voetbal,1908,1912,Neutraal
Aceritas,Zwart Wit,Spekholzerheide,Voetbal,1924,1941,Rooms-katholiek
Aceritas,,Spekholzerheide,Voetbal,1919,1920,Rooms-katholiek
Acetylena,,Rotterdam,Voetbal,1911,1912,Neutraal
A.C.F. (Amsterdamsche Chinine Fabriek),A. Ch. F.,Amsterdam,Voetbal,1929,1933,Neutraal
Achdoeth,,Leeuwarden,Voetbal,1937,1938,Joods
Achdoeth,,Leeuwarden,Voetbal,1926,1936,Joods
Achilles,,Rotterdam,Voetbal,1912,1913,Neutraal
Achilles,,Maasbracht,Voetbal,1919,1920,Rooms-katholiek
Achilles,,Hengelo,Voetbal,1908,1909,Neutraal
Achilles,,Assen,Voetbal,1894,,Neutraal
Achilles,,Rotterdam,Voetbal,1896,1913,Neutraal
Achilles,,Amsterdam,Voetbal,1935,1941,Socialistisch
Achilles,,Tilburg,Voetbal,1918,1919,Rooms-katholiek
Achilles,,Heerenveen,Voetbal,1907,1907,Neutraal
Achilles,,Margraten,Voetbal,1924,,Rooms-katholiek
Achilles,,Enschede,Voetbal,1924,,Protestants-christelijk
Achilles,,Den Bosch,Voetbal,1915,,Rooms-katholiek
Achilles,,Groesbeek,Voetbal,1921,1923,Rooms-katholiek
Achilles,A.B.O.N. (Achilles Blijft Onze Naam),Hengelo,Voetbal,1912,,Rooms-katholiek
Achilles,R.K.S.V. Groesbeek,Groesbeek,Voetbal,1929,,Rooms-katholiek
Achilles,,Kaatsheuvel,Voetbal,1918,,Rooms-katholiek
Achilles,,Hilversum ?,Voetbal,1904,,Neutraal
Achilles,,Den Haag,Voetbal,1926,1927,Neutraal
Achilles (zaterdag),,Nijkerk,Voetbal,1936,1936,Neutraal
Acht,,Acht (Eindhoven),Voetbal,1922,1923,Rooms-katholiek
Acht,V.V.A.,Acht (Eindhoven),Voetbal,1927,1941,Rooms-katholiek
Achter de Hoven,S.V. N.O.A.D.,Leeuwarden,Voetbal,1935,1938,Neutraal
Achterveld,,Achterveld,Voetbal,1935,,Rooms-katholiek
A.C.O.,M.W.S.,Amsterdam,Voetbal,1932,1941,Neutraal
Actief,Avanti,Amsterdam,Voetbal,1920,1939,Neutraal
Actif,,Hilversum,Voetbal,1927,,Rooms-katholiek
Activa,,Wilp,Voetbal,1916,1931,Neutraal
Activia,,Deventer,Voetbal,1931,,Neutraal
Activia,Avantia,Deventer,Voetbal,1915,1931,Neutraal
Activia,L.V.C.,Groesbeek,Voetbal,1932,1939,Rooms-katholiek
Activitas,,Rotterdam,Voetbal,1926,,Rooms-katholiek
A.C.V.,,Amsterdam,Voetbal,1921,1924,Neutraal
A.C.V.,,Amsterdam,Voetbal,1926,1931,Neutraal
A.C.V. (Asser Christelijke Voetbalvereeniging),Zwaluwen,Assen,Voetbal,1939,,Protestants-christelijk
